algorithm,mean_reward,std_reward,median_reward,min_reward,max_reward,mean_episode_length,mean_food_saved,std_food_saved,mean_food_spoiled,std_food_spoiled,mean_food_reused,std_food_reused,mean_revenue,std_revenue,mean_efficiency,std_efficiency,action_dist_0,action_name_0,action_dist_1,action_name_1,action_dist_2,action_name_2,action_dist_3,action_name_3,action_dist_4,action_name_4,action_dist_5,action_name_5,action_dist_6,action_name_6,action_dist_7,action_name_7
DQN,108.7549776996573,11.682535991295243,113.3916760967019,71.61029566791895,120.86478809034813,93.4,2.5433718909624603,0.34319046703668127,0.23137683829454136,0.046710308714797796,0.0,0.0,0.0,0.0,91.55096449392009,1.9191951924789603,0.0,Monitor,29.34,Basic Preservation,14.2,Transport to Market,1.48,Reuse/Donate,1.62,Advanced Preservation,0.0,Emergency Transport,47.76,Compost,0.0,Process Products
PPO,118.69751261636895,12.042694811269053,122.95019756150523,88.40847593855233,134.42718470615335,94.02,3.216990543403331,0.596912862999404,0.23315583612382326,0.0393903070073925,0.0,0.0,0.0,0.0,92.98065662496315,2.1093285331611806,0.0,Monitor,32.06,Basic Preservation,6.84,Transport to Market,0.0,Reuse/Donate,1.06,Advanced Preservation,0.0,Emergency Transport,55.06,Compost,0.0,Process Products
A2C,117.54102489958608,10.889700325377014,120.93124439332368,82.82659228990343,133.02538255778336,94.28,3.2123405513683974,0.6043129286021478,0.24321412365649994,0.033015243627921874,0.0,0.0,0.0,0.0,92.69158296416565,1.9504347219798177,0.0,Monitor,34.32,Basic Preservation,4.56,Transport to Market,56.1,Reuse/Donate,0.0,Advanced Preservation,0.0,Emergency Transport,0.3,Compost,0.0,Process Products
REINFORCE,100.82878711558072,8.766321993524604,102.6763682703575,68.63393126078942,113.98547228810978,96.7,2.837466136186884,0.5146417296842538,0.3573543163645207,0.09235027151077498,0.0,0.0,0.0,0.0,88.53663997508376,3.2877064017042823,0.0,Monitor,41.8,Basic Preservation,1.04,Transport to Market,54.86,Reuse/Donate,0.0,Advanced Preservation,0.0,Emergency Transport,0.0,Compost,0.0,Process Products
