config_name,training_time,mean_reward,std_reward,mean_episode_length,mean_food_saved,mean_food_wasted,mean_avg_quality,mean_efficiency,hp_learning_rate,hp_buffer_size,hp_learning_starts,hp_batch_size,hp_gamma,hp_target_update_interval,hp_exploration_fraction,hp_exploration_final_eps
dqn_baseline,13.448627,48.63492074659136,17.937317405339165,86.1,0.0,1.1065032071316323,0.08927679156760862,0.0,0.0001,50000,1000,64,0.99,1000,0.3,0.05
dqn_high_lr,14.092583,89.74506158769773,20.222005350940314,94.6,2.04342801585154,0.2911522121703082,0.12866822442517178,87.35908106183493,0.0005,50000,500,128,0.99,500,0.2,0.05
dqn_deep_network,20.014889,41.178198969633954,18.878356441960477,93.35,2.140823606520709,0.3192846529958406,0.117776534822481,86.7267613538348,0.0001,100000,1000,64,0.99,1000,0.3,0.05
dqn_large_buffer,14.140467,34.78978265622246,24.16736185421384,81.0,0.6309346559786146,1.5095824639681612,0.08179158460265838,29.95345721395438,0.0001,200000,2000,128,0.995,2000,0.4,0.02
dqn_high_gamma,12.236279,40.65800928067495,24.00987862304662,96.25,0.5739179555154151,1.718514727620931,0.12167559142124443,25.70287123812701,0.0001,50000,1000,64,0.995,1000,0.3,0.05
dqn_fast_update,14.83769,43.45712412861328,5.339817207947424,93.15,2.1531648776681935,0.3045773649496344,0.11287042002904484,87.4499729401268,0.0002,50000,500,64,0.99,500,0.2,0.1
dqn_wide_network,14.01364,35.351282880280664,24.693422695367882,94.05,2.3361291444538645,0.22308494707549958,0.10707264932694993,91.19066527067667,0.0001,50000,1000,64,0.99,1000,0.3,0.05
dqn_large_batch,10.606982,36.31798885953912,12.180741527174929,91.4,0.6865284262187884,1.4714928591915233,0.11306235526990657,31.49406473324881,0.0001,100000,2000,256,0.99,1000,0.3,0.05
dqn_long_exploration,11.666139,0.7403372449821457,25.526672695730024,88.05,0.6285054193861648,1.8541725899388883,0.05956419273747254,24.62769816670702,0.0001,50000,1000,64,0.99,1000,0.5,0.1
dqn_aggressive,16.797087,109.71260403969727,13.165929427661034,93.5,2.523216588740925,0.22445047553574943,0.11132942195409457,91.63787374195047,0.0005,100000,500,128,0.995,500,0.2,0.02
