#{"t_start": 1764261054.9745224, "env_id": "None"}
r,l,t
84.113416,85,71.754869
94.650544,100,71.921334
63.822926,100,72.135962
50.890499,73,72.249026
82.19062,100,72.435369
46.476927,49,72.505565
63.858266,89,72.664739
63.268575,100,72.838818
84.747093,100,73.02236
100.287951,100,73.205405
77.751089,100,73.371491
84.659008,100,75.057739
68.255333,80,75.171718
58.630751,94,75.371256
61.214652,97,75.536712
78.146619,100,75.745813
68.844054,100,79.603821
84.686247,100,79.800498
88.417186,100,80.019673
83.630934,100,80.187444
75.962404,88,80.338945
77.951024,89,80.486315
79.126752,100,80.741829
78.0601,100,80.937311
70.86164,70,81.070618
91.541148,100,81.272718
56.840291,100,81.459233
95.030566,100,81.651807
80.116948,100,81.855679
62.830122,66,81.961306
59.505319,87,82.120396
76.849387,100,82.344752
85.090761,100,82.548429
69.629512,91,82.703622
74.524874,82,82.905328
68.053514,93,83.088668
84.023109,100,83.270117
65.854845,100,83.472263
97.825033,100,86.898252
93.240922,100,87.087337
77.330294,100,87.269402
41.748657,64,87.397745
81.461602,100,87.60211
91.131395,100,87.809841
70.721844,100,88.017127
54.832239,74,88.179463
99.852297,100,88.374431
57.058084,61,88.502049
76.795339,75,88.64738
100.523119,100,88.839473
79.598767,92,89.001861
56.309685,100,89.200643
90.312525,100,89.369004
108.467417,100,89.552314
82.231194,100,89.732607
96.730328,100,89.935736
86.550603,100,90.151401
100.364685,100,90.39757
72.16738,89,90.567768
99.582659,93,90.751507
96.758435,100,94.106029
92.042217,100,94.283473
94.858016,78,94.432643
83.314087,100,94.650355
89.760344,100,96.301239
104.12293,100,96.502647
74.94576,100,96.701045
86.765503,100,96.884306
83.888886,94,97.035496
86.248356,100,97.217737
93.007607,100,97.443811
96.712059,100,97.812143
70.541352,74,97.965331
95.060502,94,98.167435
106.421935,100,98.500657
47.697774,50,98.597462
96.654888,100,98.804241
65.674945,77,98.969267
78.570513,100,99.150503
76.865689,64,99.283821
84.665573,100,99.503231
104.943631,100,99.69956
74.429426,100,102.660769
105.848512,100,102.866117
50.934871,67,103.111384
105.255387,100,103.345724
94.102898,100,103.560047
102.82729,100,103.766609
72.075165,100,104.104205
94.520455,100,104.317863
109.811561,100,104.516007
104.994624,100,104.713462
98.732102,100,104.96636
63.152078,72,105.12268
66.964317,100,105.298324
98.646787,100,105.499975
86.669016,100,105.669116
