#{"t_start": 1764261480.8635197, "env_id": "None"}
r,l,t
82.407245,100,72.578705
84.340765,100,72.767414
66.874192,85,72.979226
91.128793,100,73.185677
94.462056,100,73.405921
88.47703,100,73.731486
81.78812,100,73.921922
31.377726,54,74.016737
54.143432,39,74.092043
67.838048,100,74.301007
50.504794,57,74.401982
66.382477,100,74.60096
66.046601,80,74.751392
92.62397,100,74.934265
94.240525,100,75.205209
75.131569,100,76.809607
60.021909,100,76.983853
69.117915,81,77.132918
107.600018,100,77.357868
103.98272,100,77.576693
61.6254,100,81.63394
88.671289,100,81.868678
55.780536,99,82.083851
87.457952,100,82.267253
78.537754,100,82.482549
53.525106,89,82.661657
98.592421,100,82.849478
85.073271,100,83.056065
86.1233,100,83.250295
83.575605,100,83.483665
86.796143,100,83.666967
95.549118,100,83.868465
96.40435,100,84.103331
80.19617,100,84.328462
50.927277,80,84.472518
107.472268,100,84.665708
93.375296,100,84.872899
113.917103,100,85.065696
79.196459,100,85.271345
106.613676,100,85.466537
100.262861,100,85.665545
89.711568,100,85.883297
99.017799,100,86.093531
85.497809,100,86.316027
87.948789,100,86.564392
104.425531,100,86.815065
72.421602,82,86.987648
96.345317,99,87.14959
104.500047,100,87.349197
83.690972,69,87.494967
91.080683,100,87.665201
76.355907,100,87.874827
46.334825,65,87.982802
96.576631,100,88.190378
92.670606,100,88.398412
50.330344,83,88.604748
101.191955,100,88.831631
93.272205,100,89.019526
59.244338,100,89.328242
92.419429,100,89.52094
65.217602,100,89.692003
65.308606,59,89.800852
99.915896,100,89.999054
95.757905,100,94.030616
103.276018,100,94.220552
100.032557,100,94.397261
101.312752,100,94.597952
67.977723,57,94.711867
85.16226,100,96.363664
104.597418,100,96.574187
100.306621,100,96.781533
61.525092,63,96.896741
108.992868,100,97.063377
111.83863,100,97.262085
99.105194,100,97.429971
91.845486,100,97.653777
101.287685,91,97.86431
103.227627,100,98.047505
100.835179,100,98.246504
68.788092,88,98.443787
96.317987,100,98.661973
102.906597,100,98.859575
58.907456,56,98.969505
82.151409,100,99.155815
96.439338,100,99.346296
71.708932,53,99.447407
96.951059,100,99.630633
106.779256,98,99.830568
102.740242,100,100.074576
96.413572,100,100.252346
75.885957,83,100.412793
88.906522,100,100.606225
104.473417,100,100.780398
99.923199,100,101.012643
84.821004,100,101.212669
97.127996,100,101.42961
78.463355,79,101.587876
85.287875,100,101.780094
100.451696,100,101.963564
108.010654,100,102.222544
72.287698,80,102.399138
99.736849,100,102.595158
112.836508,100,102.778966
92.655187,79,102.946501
111.680195,100,103.119977
101.181368,100,103.312218
75.239837,100,103.529166
58.655205,58,107.378428
112.35384,100,107.611729
108.084505,100,107.837149
91.921505,100,108.01235
97.689069,100,108.195523
96.585524,100,108.378965
89.387194,100,108.588288
84.093035,100,108.817562
103.57888,100,109.058018
107.483356,100,109.244999
81.405087,75,109.394094
98.436939,100,109.583829
107.628038,100,109.778703
106.975421,100,109.960918
112.751816,100,111.703108
100.777113,100,111.893936
101.491299,100,112.061441
61.971503,65,112.193956
85.164104,63,112.316121
63.601845,64,112.427262
102.816132,100,112.639279
91.90885,100,112.827058
104.490404,100,113.041708
124.594882,100,113.227895
109.55048,100,113.488869
99.439824,100,113.694029
99.274109,100,113.922466
106.822165,100,114.110183
116.127747,100,114.3178
101.290294,100,114.476776
114.886394,100,114.680427
77.81011,87,114.847348
86.656131,85,114.999939
78.818581,100,115.257806
104.065176,95,115.471819
100.298507,100,115.761461
89.292508,100,115.943146
98.11637,100,116.201411
86.506242,100,116.503149
90.243647,100,116.785518
111.806445,100,117.069393
73.586351,72,117.232764
108.686219,100,117.440935
100.364938,100,122.175244
105.686608,100,122.471018
113.317087,100,122.707217
108.259133,100,122.89308
94.836014,100,123.146363
73.922743,75,123.351779
106.63637,100,123.586361
93.755883,100,123.814188
97.860627,100,124.0622
111.085372,100,124.280929
109.911736,100,124.529171
96.525513,100,124.797186
109.810245,100,124.990378
108.776869,100,125.193803
104.486411,100,125.437502
110.081798,100,125.656611
96.257385,100,125.896097
89.945253,100,126.161688
110.525489,100,126.44265
108.741234,100,126.725859
68.116354,75,126.929148
105.808883,100,127.192514
108.837286,100,127.444458
103.444726,100,129.107315
97.75115,100,129.360831
92.284985,100,129.574965
95.868279,100,129.757149
91.582385,100,129.997946
106.39885,100,130.244178
106.71973,100,130.461415
111.393505,100,130.725569
99.466975,100,131.072659
71.862664,76,131.262428
91.026057,100,131.527772
96.136129,100,131.756833
103.642994,100,131.960472
107.385857,100,132.184704
106.732174,93,132.374264
112.801277,100,132.63503
64.937213,66,132.845436
115.171171,100,133.276576
98.781736,100,133.527638
103.820021,100,138.093984
110.138604,100,138.323578
110.771685,100,138.562231
103.469549,100,138.826727
112.34799,100,139.15242
95.997073,100,139.412233
108.445865,92,139.661896
101.769384,100,139.974639
97.421156,100,140.254181
88.497603,64,140.448354
97.109345,100,141.537363
94.574342,100,141.792277
102.024893,100,141.98825
97.336747,100,142.205942
105.415181,100,142.417441
111.396894,97,142.642706
129.555614,100,142.844653
106.089806,100,143.077968
102.784741,97,143.272321
63.615039,62,143.427532
109.025677,100,143.69655
95.815391,100,143.934297
99.103832,100,144.138761
107.760578,100,144.372043
102.497625,100,144.837805
117.224833,100,145.240358
129.900182,100,145.486238
109.641589,100,146.027663
117.514892,100,146.288425
99.193865,100,146.520972
112.650373,100,146.738354
105.674471,100,146.965659
104.209591,89,149.127646
107.565953,100,149.386759
115.655673,100,149.764044
112.951189,100,149.954459
99.381057,100,151.196751
109.005801,100,151.64012
95.117486,100,152.325495
100.205329,100,152.596875
113.416589,100,152.949704
115.459546,100,153.369548
102.470723,100,160.869008
102.072989,100,161.1179
100.440913,100,161.351228
105.031398,100,161.72417
111.138433,100,161.969141
117.562307,100,162.240954
93.282324,77,162.475003
113.480113,100,162.773478
106.389729,100,163.006931
86.6633,66,163.16451
96.417262,78,163.352788
92.353379,90,163.538843
112.57726,100,163.734031
107.915285,94,163.916388
114.82478,100,164.108091
102.476499,100,164.288556
105.947065,100,164.472977
86.040502,62,164.600567
102.940595,100,164.834892
100.154027,100,165.037424
106.625972,100,165.233898
114.829877,100,165.401369
112.203496,100,165.625733
108.854059,100,165.833654
108.767161,100,166.050879
50.60171,49,166.133618
82.068824,65,166.249669
106.790123,100,166.460914
103.621715,100,166.650172
109.47627,100,166.859574
69.480822,55,166.997856
112.166843,100,167.204302
107.729082,100,167.384435
81.875509,61,167.515727
118.243585,100,167.699988
91.717718,87,167.882243
116.796982,100,168.084278
99.758188,100,168.317719
118.902034,100,168.538873
111.591382,100,168.722634
123.162304,100,168.912182
107.25369,100,169.143333
104.218341,100,169.362326
111.925,100,171.006695
108.883186,100,175.75303
110.019849,100,175.973056
77.72612,70,176.129742
109.768581,100,176.299622
109.180958,100,176.498335
119.796247,100,176.711967
104.643875,100,176.906409
118.927595,100,177.104388
112.612566,100,177.334118
103.151134,100,177.515818
117.26695,100,177.699115
116.240309,100,177.880812
127.524397,100,178.101744
117.570852,100,178.330586
118.712568,100,178.548995
111.442854,100,178.713415
94.539185,83,178.865852
118.99631,100,179.048922
89.212601,79,179.201892
105.166862,100,179.382178
102.063181,100,179.604481
113.410232,100,179.823012
116.74671,100,180.016185
126.029797,100,180.202354
103.370288,87,180.392133
109.065387,100,180.625914
114.478294,100,180.820504
101.662626,100,181.003157
114.743758,100,181.181987
105.662257,100,181.380733
91.564339,93,181.53122
117.185761,100,181.715057
106.398452,100,181.926353
112.002386,100,182.130638
122.085762,100,182.347597
109.722762,100,182.546154
111.009599,100,182.817489
111.861943,100,182.997112
108.920032,100,183.213451
103.186434,100,183.422318
107.632085,100,183.59699
115.366437,100,183.764888
105.799052,100,188.297142
102.553575,84,188.46033
108.329237,100,188.647075
108.540746,100,188.848299
123.3769,100,189.026086
104.49036,92,189.213616
101.135522,100,189.448998
117.062103,100,189.674194
100.358366,100,189.879746
104.027327,100,191.628818
104.712769,100,191.877192
119.491549,100,192.079725
118.503757,100,192.296506
108.726757,100,192.479693
101.052424,100,192.779655
114.351072,100,193.028539
114.973548,95,193.245648
104.795214,86,193.531089
120.728389,100,193.779219
95.359161,84,193.987205
124.379392,100,194.211461
99.796735,100,194.412535
99.63494,86,194.591866
112.280348,100,194.796551
96.79453,92,194.96151
82.745407,67,195.11176
112.312652,100,195.294767
120.088823,100,195.490181
111.401366,100,195.661348
114.258458,100,195.862038
104.768919,100,196.061526
112.813337,100,196.31566
113.980554,100,196.538627
123.554554,100,196.710253
113.811904,100,196.92778
115.80105,100,197.133425
99.185066,88,197.278738
109.433144,100,197.486191
117.961314,100,197.67716
115.104833,100,197.861049
104.177502,100,198.067516
106.037741,100,198.261458
122.150109,100,202.831339
107.577615,92,203.055162
110.793218,100,203.275543
111.912843,100,203.474515
119.646428,100,203.660878
111.848403,100,203.84326
112.721617,100,204.048657
116.716263,100,204.243417
103.218186,98,204.44038
109.573999,100,204.643965
99.210905,100,204.860312
107.453265,100,205.049673
102.79407,100,205.269561
106.080606,100,205.490148
110.68999,100,205.688913
101.411195,100,205.877205
102.94238,100,206.05944
119.395995,100,206.246098
115.927339,100,208.035347
115.66393,100,208.209952
106.948738,100,208.393335
113.420378,100,208.575586
122.006673,100,208.781699
105.889442,100,208.947733
89.574441,78,209.243132
121.629073,100,209.47594
112.47155,100,209.69833
117.168637,100,210.102472
115.702857,100,210.322329
106.29343,100,210.509583
116.360192,100,210.732744
97.066011,95,210.925073
109.097007,100,211.141984
121.079331,100,211.326087
108.095849,100,211.537208
123.559054,100,211.716501
111.730667,100,211.923917
113.687115,100,212.114981
104.563508,99,212.364614
122.697839,100,212.541502
113.341074,100,212.708151
117.282775,100,218.249537
108.976092,100,218.511425
104.373251,100,218.758485
110.864239,100,218.967534
81.556097,73,219.101108
109.884587,100,219.331949
120.126298,100,219.54912
107.670031,88,219.765071
95.053994,100,220.029727
115.07787,100,220.238552
107.377412,99,220.475478
122.214767,100,220.688914
113.207742,100,220.934337
102.720502,100,221.177307
83.784023,100,221.396067
112.845447,100,221.585838
112.868198,100,221.831378
119.966299,100,222.081784
114.382654,100,222.320232
96.00322,100,222.540936
117.065207,100,222.756574
104.087207,100,222.979923
123.568002,100,223.26297
118.741171,100,223.622574
111.053808,100,223.873829
108.547618,100,224.163261
117.484268,100,225.390867
120.70912,100,227.487694
117.921853,100,227.719294
112.629315,100,227.911426
123.625466,100,228.092249
111.538311,100,228.27242
119.441845,100,228.45514
113.318275,100,228.671769
117.603486,100,228.896131
113.341549,100,229.07832
106.638319,100,229.288315
77.102418,64,229.429619
114.097424,92,229.597954
96.666252,79,229.815326
106.86231,100,230.068561
111.873617,88,230.255198
115.215195,100,230.479556
107.564117,100,234.987426
110.93655,100,235.220975
107.361065,100,235.432474
114.284458,100,235.620497
101.792755,100,235.838109
114.950768,100,236.043693
117.060043,100,236.238865
120.000263,100,236.435018
107.447048,100,236.697479
106.399888,100,236.902489
82.639315,74,237.043068
121.90004,100,237.317175
112.996098,100,237.559071
103.918025,100,237.790417
117.506491,100,238.05338
107.909108,100,238.326687
113.776792,100,238.62092
97.326368,100,238.893761
118.145983,100,239.11865
118.802784,100,239.352039
126.434445,100,239.56975
113.986327,100,239.777419
111.179846,100,239.970647
108.606751,100,240.192713
118.137698,100,240.402849
121.613295,100,240.670722
99.936176,100,240.932059
114.634881,100,241.296652
97.215551,100,241.5032
86.294364,90,241.67031
110.099223,91,241.853513
113.594164,100,242.052573
111.97139,100,242.270297
117.251981,100,242.492539
77.547641,67,242.619109
114.054427,100,242.836802
112.728568,100,244.709707
114.987116,100,244.885948
122.380166,100,245.107907
113.36049,100,245.301935
94.522881,95,245.488632
113.775969,100,251.03526
108.119749,100,251.29972
118.463008,100,251.634723
120.124319,100,251.86842
116.716602,100,252.097682
118.91202,100,252.317735
101.420947,95,252.5376
96.97379,100,252.78091
90.122372,80,252.933816
98.007185,100,253.139489
117.540245,100,253.351047
110.126523,100,253.550913
97.46808,100,253.733731
115.33945,100,253.951474
101.408954,100,254.171683
115.834784,100,254.390206
119.344141,100,254.601133
92.519742,72,254.77347
110.489054,100,255.016986
109.178926,100,255.216353
118.557286,100,255.433403
110.578298,100,255.66676
110.783194,100,255.880576
107.123174,100,256.066545
117.156644,100,256.270195
109.098644,100,256.506496
113.285057,100,256.750835
117.701872,100,256.958376
105.210927,100,257.208127
107.116575,100,257.434602
112.228359,100,257.683766
112.809841,100,258.186512
114.414176,100,258.499957
119.031679,100,258.854684
130.761765,100,259.65984
113.976879,100,259.98253
96.389135,70,260.168955
116.518409,100,260.366282
112.436316,100,260.56462
101.490947,100,260.766845
119.515526,100,260.999791
114.656823,100,261.22427
109.769236,100,266.98208
99.377755,100,267.20093
112.688255,100,267.44923
130.223729,100,267.667047
103.887146,100,269.538155
85.340942,68,269.664563
114.737701,100,269.897766
